"","index_0","sample","value"
"1",0,0,168.116230958674
"2",1,0,173.848405470491
"3",0,1,153.836746229701
"4",1,1,180.95002170717
"5",0,2,149.424377015002
"6",1,2,184.245312675893
"7",0,3,154.82300487913
"8",1,3,187.769419149683
"9",0,4,149.759974782399
"10",1,4,189.018318641107
"11",0,5,142.700498076299
"12",1,5,192.078789173392
"13",0,6,137.288584338712
"14",1,6,199.247122260786
"15",0,7,133.87592699278
"16",1,7,200.019127290586
"17",0,8,137.787559975405
"18",1,8,203.308521055371
"19",0,9,133.597862565702
"20",1,9,204.736009289452
"21",0,10,134.043349119803
"22",1,10,201.778636133043
"23",0,11,125.169401679238
"24",1,11,205.596400067511
"25",0,12,132.608144564232
"26",1,12,205.44278077985
"27",0,13,135.175362981518
"28",1,13,207.435290399615
"29",0,14,130.566779029981
"30",1,14,201.620959675135
"31",0,15,124.166313000915
"32",1,15,202.50897173257
"33",0,16,121.20427325333
"34",1,16,200.395349986332
"35",0,17,117.774154407885
"36",1,17,198.973706736365
"37",0,18,123.733970914626
"38",1,18,198.209537752501
"39",0,19,127.31007918376
"40",1,19,198.955580113096
"41",0,20,122.049015716122
"42",1,20,199.675774574741
"43",0,21,128.453701713528
"44",1,21,201.631056169825
"45",0,22,120.364941467079
"46",1,22,200.181587872623
"47",0,23,120.748247353293
"48",1,23,200.652481334203
"49",0,24,127.442911643466
"50",1,24,200.90535790978
"51",0,25,118.775626545582
"52",1,25,200.321514335834
"53",0,26,120.236623657329
"54",1,26,194.65580911055
"55",0,27,113.401474201388
"56",1,27,198.076014172811
"57",0,28,117.239383446399
"58",1,28,194.138810946857
"59",0,29,115.739008837367
"60",1,29,196.104729698814
"61",0,30,116.870505502461
"62",1,30,201.978134080157
"63",0,31,120.899299695385
"64",1,31,196.7467523597
"65",0,32,117.342054506493
"66",1,32,202.446251107143
"67",0,33,117.168817929566
"68",1,33,201.168173751095
"69",0,34,119.827376905178
"70",1,34,201.50309208467
"71",0,35,129.076519906902
"72",1,35,200.176486255558
"73",0,36,132.007451345588
"74",1,36,204.229660338825
"75",0,37,128.557841768936
"76",1,37,206.983743523643
"77",0,38,127.936610764808
"78",1,38,203.132550929468
"79",0,39,136.361652599194
"80",1,39,201.926664296131
"81",0,40,132.932886786738
"82",1,40,205.636281838354
"83",0,41,139.253435385806
"84",1,41,206.722120159941
"85",0,42,131.572461915375
"86",1,42,206.440235561346
"87",0,43,133.950768632627
"88",1,43,206.23964114503
"89",0,44,133.600358496527
"90",1,44,204.342829400269
"91",0,45,132.960898142778
"92",1,45,203.554047274304
"93",0,46,142.492240224109
"94",1,46,206.3300473655
"95",0,47,147.072580677782
"96",1,47,205.599170848192
"97",0,48,142.47132604988
"98",1,48,203.298841575308
"99",0,49,129.673796446616
"100",1,49,201.83041408533
"101",0,50,133.285040756466
"102",1,50,202.206970054177
"103",0,51,132.108291269375
"104",1,51,203.119567500478
"105",0,52,133.571555295642
"106",1,52,197.528943780462
"107",0,53,133.426943439439
"108",1,53,197.282919519881
"109",0,54,127.600975215772
"110",1,54,199.648232132277
"111",0,55,118.900888340406
"112",1,55,201.958038025109
"113",0,56,115.12059736241
"114",1,56,199.593829562432
"115",0,57,114.783971198131
"116",1,57,198.887352926078
"117",0,58,114.814752905458
"118",1,58,197.005440555599
"119",0,59,118.952461248922
"120",1,59,199.999039247142
"121",0,60,114.431343542213
"122",1,60,201.496065250074
"123",0,61,109.790548471516
"124",1,61,195.768860904261
"125",0,62,111.724155140343
"126",1,62,195.599579393214
"127",0,63,114.925145335076
"128",1,63,199.594162733579
"129",0,64,111.187887689965
"130",1,64,196.891036426714
"131",0,65,117.975760066077
"132",1,65,198.418331729258
"133",0,66,117.716861966213
"134",1,66,199.198892319946
"135",0,67,118.800683381799
"136",1,67,194.131710081371
"137",0,68,119.557611209034
"138",1,68,195.426171536416
"139",0,69,117.992123653749
"140",1,69,201.483155970536
"141",0,70,119.744511693661
"142",1,70,194.841255549006
"143",0,71,114.699301586463
"144",1,71,201.013945505577
"145",0,72,129.342604240603
"146",1,72,199.990963932052
"147",0,73,122.506597014325
"148",1,73,202.422886299983
"149",0,74,120.634438791155
"150",1,74,200.551690143168
"151",0,75,115.193662492046
"152",1,75,199.962100733157
"153",0,76,122.691934310129
"154",1,76,203.041625273988
"155",0,77,114.486982831175
"156",1,77,197.708659917289
"157",0,78,115.683487279273
"158",1,78,197.535597271453
"159",0,79,119.71381009864
"160",1,79,198.030316990252
"161",0,80,113.040808971376
"162",1,80,198.138732193378
"163",0,81,116.037153918955
"164",1,81,201.309219970902
"165",0,82,119.836671572165
"166",1,82,201.308925801917
"167",0,83,120.109508294696
"168",1,83,198.493494831536
"169",0,84,122.215699265745
"170",1,84,201.724992638079
"171",0,85,119.762317268296
"172",1,85,199.19410414758
"173",0,86,121.755566499144
"174",1,86,200.786215649659
"175",0,87,117.855931489564
"176",1,87,200.260636322545
