"","index_0","sample","value"
"1",0,0,168.116230958674
"2",1,0,173.848405470491
"3",0,1,157.935048624784
"4",1,1,178.619371089203
"5",0,2,173.027428883696
"6",1,2,168.865948922525
"7",0,3,176.84523389597
"8",1,3,168.966059636475
"9",0,4,153.335565810835
"10",1,4,169.306985129542
"11",0,5,164.792823600298
"12",1,5,181.910002432374
"13",0,6,150.711506119136
"14",1,6,181.291272143678
"15",0,7,141.534240301475
"16",1,7,189.540065446651
"17",0,8,145.034418753567
"18",1,8,185.988627259375
"19",0,9,148.665403913615
"20",1,9,190.912025006072
"21",0,10,149.323174497868
"22",1,10,194.725970233327
"23",0,11,144.761535792092
"24",1,11,197.468079781109
"25",0,12,130.063133496534
"26",1,12,200.602004103766
"27",0,13,134.410541229424
"28",1,13,204.122198954333
"29",0,14,138.681124084252
"30",1,14,204.78934298213
"31",0,15,130.924139968874
"32",1,15,203.527855862446
"33",0,16,140.669592803684
"34",1,16,206.020667094827
"35",0,17,142.984905767031
"36",1,17,205.141259077205
"37",0,18,140.942756959398
"38",1,18,206.969140935866
"39",0,19,135.618395020939
"40",1,19,204.482655473384
"41",0,20,137.512136815482
"42",1,20,205.394631978692
"43",0,21,135.182646989823
"44",1,21,206.737891719119
"45",0,22,138.449536945622
"46",1,22,200.900455967995
"47",0,23,140.690317396513
"48",1,23,203.636333295184
"49",0,24,135.649523151465
"50",1,24,203.155791782662
"51",0,25,128.562535719733
"52",1,25,205.181795846277
"53",0,26,120.253889858517
"54",1,26,200.965264304883
"55",0,27,124.858251367371
"56",1,27,204.478078314003
"57",0,28,124.196199095037
"58",1,28,200.04399104222
"59",0,29,129.174731346252
"60",1,29,204.852463623648
"61",0,30,123.714183768617
"62",1,30,203.866316874494
"63",0,31,127.803617644503
"64",1,31,200.561863878812
"65",0,32,128.148511651375
"66",1,32,201.506291191155
"67",0,33,120.354084221617
"68",1,33,200.877479494253
"69",0,34,116.296943191903
"70",1,34,197.50426010527
"71",0,35,113.432654098353
"72",1,35,194.831041634621
"73",0,36,112.874045003982
"74",1,36,194.955192839182
"75",0,37,109.410323914598
"76",1,37,192.062289238949
"77",0,38,112.766849195966
"78",1,38,197.571034855014
"79",0,39,112.08229786682
"80",1,39,194.777583717431
"81",0,40,113.391356752115
"82",1,40,195.751457239007
"83",0,41,118.27995818211
"84",1,41,195.947829668652
"85",0,42,115.54706957156
"86",1,42,195.764706786114
"87",0,43,115.101093591209
"88",1,43,201.550804282246
"89",0,44,121.507906979621
"90",1,44,197.295207678262
"91",0,45,131.157238284001
"92",1,45,202.286857704728
"93",0,46,131.485647654501
"94",1,46,200.469762260928
"95",0,47,126.24229057481
"96",1,47,199.512993960337
"97",0,48,116.45814394308
"98",1,48,198.471415999058
"99",0,49,120.528549789704
"100",1,49,201.227603089378
"101",0,50,120.645543224912
"102",1,50,203.173153030384
"103",0,51,119.872221647657
"104",1,51,201.679330292923
"105",0,52,118.132384610233
"106",1,52,197.426588044833
"107",0,53,119.897417285334
"108",1,53,199.802595451965
"109",0,54,124.206023400349
"110",1,54,200.797955905775
"111",0,55,125.5753908046
"112",1,55,203.340938002628
"113",0,56,134.157040621435
"114",1,56,205.223214909629
"115",0,57,128.382939634109
"116",1,57,204.268431246906
"117",0,58,130.494505749299
"118",1,58,204.423778093418
"119",0,59,128.647562297999
"120",1,59,201.177072298204
"121",0,60,125.878282430233
"122",1,60,202.921271711022
"123",0,61,135.715666251635
"124",1,61,203.400336519592
"125",0,62,141.094988059456
"126",1,62,204.143544517072
"127",0,63,137.835646623674
"128",1,63,205.668452967563
"129",0,64,142.533164298416
"130",1,64,205.454546010288
"131",0,65,140.270053623613
"132",1,65,203.992247475992
"133",0,66,134.859601868728
"134",1,66,206.240705344026
"135",0,67,133.342443701886
"136",1,67,204.867096465134
"137",0,68,140.676184082086
"138",1,68,204.13573899137
"139",0,69,140.05274036753
"140",1,69,205.726116668266
"141",0,70,141.809881087345
"142",1,70,200.880708015523
"143",0,71,136.09747066416
"144",1,71,201.012429309406
"145",0,72,140.486628212953
"146",1,72,197.979251062256
"147",0,73,136.280420324289
"148",1,73,200.448680240609
"149",0,74,141.961501848643
"150",1,74,206.675967982528
"151",0,75,134.490271709687
"152",1,75,201.741465517949
"153",0,76,139.175182650144
"154",1,76,200.727233601104
"155",0,77,139.320635176474
"156",1,77,208.308171947546
"157",0,78,138.239747385619
"158",1,78,206.760846172859
"159",0,79,140.385695582403
"160",1,79,205.567182366002
"161",0,80,140.192967234125
"162",1,80,208.311772276419
"163",0,81,140.331392894718
"164",1,81,203.080840415986
"165",0,82,133.133557450359
"166",1,82,202.562967657966
"167",0,83,134.829798627138
"168",1,83,203.000459891822
"169",0,84,131.354555197333
"170",1,84,203.664105711765
"171",0,85,128.777531589636
"172",1,85,203.434182594137
"173",0,86,133.847474548615
"174",1,86,199.430539412299
"175",0,87,135.452011049555
"176",1,87,199.864411782424
